NGram, Frequency
# Unigrams
D,1
I,3
J,1
L,5
M,1
N,1
P,1
Q,2
R,1
V,1
’,12
à,2
a,36
!,1
b,7
c,21
d,36
e,134
f,8
g,15
è,5
h,6
é,14
i,48
j,5
l,40
m,21
-,2
n,56
o,42
p,10
q,6
r,56
s,62
t,41
ô,1
u,42
v,10
x,3
ù,1

# Bigrams
pp,1
pr,1
rL,1
rM,1
rQ,1
Po,1
ab,2
ac,2
qu,6
ag,2
ai,5
am,1
an,8
ra,2
ap,1
aq,3
ar,3
as,2
rd,1
re,20
at,1
au,5
rf,1
d’,6
rg,1
av,1
sI,1
ri,5
rj,1
t-,1
sL,1
rl,2
rm,2
rn,2
ro,2
rp,1
ba,3
sR,1
rr,1
rs,6
rt,5
ru,1
Qu,2
bi,1
!I,1
bl,1
bo,1
sa,6
sc,3
sd,9
se,9
sf,2
sg,1
sh,1
si,3
sl,3
sm,5
so,2
e!,1
sp,2
ss,5
st,1
su,5
ce,8
ch,3
ci,2
cl,1
où,1
co,4
ta,4
cr,2
tc,1
td,3
te,8
ct,1
th,1
ti,4
tl,2
tm,1
èc,1
to,2
da,2
tq,1
tr,3
eD,1
ts,6
tt,2
de,19
tu,1
tv,1
eI,1
eJ,1
di,2
èn,1
eL,2
eN,1
èr,2
do,2
eP,1
ub,1
dr,3
èv,1
ue,8
ùj,1
ui,6
ul,1
um,1
un,4
éb,1
up,1
ée,1
ea,3
ur,10
éf,1
eb,2
ec,2
ég,1
ed,12
ut,4
ee,3
ef,2
uv,2
eg,5
él,3
ux,2
ém,1
ei,2
ej,2
el,5
em,3
en,19
ér,2
és,2
ét,2
ep,1
er,10
es,31
Dr,1
ve,4
et,8
eu,7
ev,3
vi,4
ex,1
fa,3
vr,1
fe,1
ff,1
fl,2
bè,1
sé,2
Vo,1
ga,1
ge,1
Rô,1
gn,2
go,3
gq,1
gr,1
xd,1
gu,5
xp,2
ha,2
hi,1
dé,2
hr,1
hu,1
uè,1
ué,1
ib,1
ic,2
eà,2
id,3
ie,4
if,1
ig,3
il,6
eé,2
im,3
in,5
io,3
ip,1
iq,1
ir,7
is,1
it,5
l’,2
vé,1
ja,2
je,2
fè,1
Il,3
jo,1
m’,3
L’,1
Je,1
gé,1
’a,2
’e,3
la,5
’o,3
lc,2
le,15
li,3
n-,1
’u,1
ll,6
lm,1
hé,1
àc,1
lo,4
àe,1
ls,1
me,5
Le,4
mi,2
nL,1
iè,2
mm,2
mo,9
nQ,1
na,1
nc,7
nd,5
ne,14
Me,1
ng,2
ni,2
nj,1
nn,3
no,2
ns,7
nt,6
nu,1
nv,2
od,1
oi,5
ol,2
on,12
-m,1
No,1
or,8
ot,6
-s,1
ou,7
ôd,1
’é,3
pe,2
ph,1
pi,1
pl,3
lé,1
po,1

# Trigrams
deb,1
ded,2
dec,1
dél,1
iol,1
dej,1
ion,2
bag,1
del,2
’un,1
ego,2
den,1
dem,2
ban,1
dés,1
vid,1
egr,1
vic,1
ted,1
det,1
egu,2
des,8
vie,1
bat,1
sce,2
tee,1
rac,1
sci,1
tei,1
rag,1
tel,1
vio,1
tet,1
tes,3
ipl,1
éli,2
ilé,1
élo,1
sde,4
sdo,1
cee,1
eig,1
irL,1
ced,1
cef,1
émo,1
irQ,1
ein,1
iqu,1
cen,2
uib,1
séf,1
cer,1
cet,1
uim,1
uil,2
fla,2
eja,1
ire,3
sen,3
uip,1
sér,1
gne,1
ses,1
ser,2
uit,1
aba,1
seu,1
